"sample_ID,N,10,0","COUNT,N,10,0","AREA,N,19,11","MIN,N,19,11","MAX,N,19,11","RANGE,N,19,11","MEAN,N,19,11","STD,N,19,11","SUM,N,19,11"
11,1,1000000,0.544259815,0.544259815,0,0.544259815,0,0.544259815
16,1,1000000,0.611500471,0.611500471,0,0.611500471,0,0.611500471
18,1,1000000,0.683038924,0.683038924,0,0.683038924,0,0.683038924
20,1,1000000,0.653638176,0.653638176,0,0.653638176,0,0.653638176
23,1,1000000,0.758412386,0.758412386,0,0.758412386,0,0.758412386
24,1,1000000,0.647428961,0.647428961,0,0.647428961,0,0.647428961
25,1,1000000,0.87599541,0.87599541,0,0.87599541,0,0.87599541
26,1,1000000,0.660117818,0.660117818,0,0.660117818,0,0.660117818
27,1,1000000,0.864035171,0.864035171,0,0.864035171,0,0.864035171
28,1,1000000,0.353841609,0.353841609,0,0.353841609,0,0.353841609
29,1,1000000,0.404863711,0.404863711,0,0.404863711,0,0.404863711
30,1,1000000,0.309137071,0.309137071,0,0.309137071,0,0.309137071
31,1,1000000,0.146808082,0.146808082,0,0.146808082,0,0.146808082
32,1,1000000,0.753097518,0.753097518,0,0.753097518,0,0.753097518
33,1,1000000,0.692656581,0.692656581,0,0.692656581,0,0.692656581
34,1,1000000,0.564721472,0.564721472,0,0.564721472,0,0.564721472
35,1,1000000,0.766255802,0.766255802,0,0.766255802,0,0.766255802
36,1,1000000,0.560918237,0.560918237,0,0.560918237,0,0.560918237
37,1,1000000,0.455115261,0.455115261,0,0.455115261,0,0.455115261
38,1,1000000,0.747867927,0.747867927,0,0.747867927,0,0.747867927
39,1,1000000,0.807335144,0.807335144,0,0.807335144,0,0.807335144
40,1,1000000,0.645732241,0.645732241,0,0.645732241,0,0.645732241
41,1,1000000,0.469346045,0.469346045,0,0.469346045,0,0.469346045
42,1,1000000,0.788648982,0.788648982,0,0.788648982,0,0.788648982
44,1,1000000,0.881871544,0.881871544,0,0.881871544,0,0.881871544
45,1,1000000,0.871815375,0.871815375,0,0.871815375,0,0.871815375
46,1,1000000,0.756855208,0.756855208,0,0.756855208,0,0.756855208
48,1,1000000,0.264110359,0.264110359,0,0.264110359,0,0.264110359
49,1,1000000,0.258477998,0.258477998,0,0.258477998,0,0.258477998
50,1,1000000,0.379359785,0.379359785,0,0.379359785,0,0.379359785
51,1,1000000,0.724709013,0.724709013,0,0.724709013,0,0.724709013
53,1,1000000,0.676807427,0.676807427,0,0.676807427,0,0.676807427
54,1,1000000,0.669445273,0.669445273,0,0.669445273,0,0.669445273
56,1,1000000,0.540019226,0.540019226,0,0.540019226,0,0.540019226
57,1,1000000,0.545393038,0.545393038,0,0.545393038,0,0.545393038
58,1,1000000,0.405426301,0.405426301,0,0.405426301,0,0.405426301
59,1,1000000,0.574163194,0.574163194,0,0.574163194,0,0.574163194
60,1,1000000,0.625721671,0.625721671,0,0.625721671,0,0.625721671
61,1,1000000,0.4658087,0.4658087,0,0.4658087,0,0.4658087
62,1,1000000,0.252702596,0.252702596,0,0.252702596,0,0.252702596
63,1,1000000,0.275936858,0.275936858,0,0.275936858,0,0.275936858
64,1,1000000,0.250302654,0.250302654,0,0.250302654,0,0.250302654
65,1,1000000,0.919556663,0.919556663,0,0.919556663,0,0.919556663
66,1,1000000,0.64260447,0.64260447,0,0.64260447,0,0.64260447
67,1,1000000,0.773335503,0.773335503,0,0.773335503,0,0.773335503
68,1,1000000,0.230146287,0.230146287,0,0.230146287,0,0.230146287
69,1,1000000,0.240134521,0.240134521,0,0.240134521,0,0.240134521
70,1,1000000,0.385955653,0.385955653,0,0.385955653,0,0.385955653
71,1,1000000,0.914322695,0.914322695,0,0.914322695,0,0.914322695
72,1,1000000,0.354777009,0.354777009,0,0.354777009,0,0.354777009
73,1,1000000,0.28753063,0.28753063,0,0.28753063,0,0.28753063
74,1,1000000,0.144719931,0.144719931,0,0.144719931,0,0.144719931
75,1,1000000,0.566061071,0.566061071,0,0.566061071,0,0.566061071
76,1,1000000,0.270975296,0.270975296,0,0.270975296,0,0.270975296
77,1,1000000,0.295422344,0.295422344,0,0.295422344,0,0.295422344
78,1,1000000,0.512595999,0.512595999,0,0.512595999,0,0.512595999
79,1,1000000,0.294204668,0.294204668,0,0.294204668,0,0.294204668
81,1,1000000,0.889797419,0.889797419,0,0.889797419,0,0.889797419
82,1,1000000,0.721801914,0.721801914,0,0.721801914,0,0.721801914
83,1,1000000,0.403420261,0.403420261,0,0.403420261,0,0.403420261
84,1,1000000,0.68819385,0.68819385,0,0.68819385,0,0.68819385
85,1,1000000,0.934463566,0.934463566,0,0.934463566,0,0.934463566
86,1,1000000,0.634751986,0.634751986,0,0.634751986,0,0.634751986
87,1,1000000,0.33207493,0.33207493,0,0.33207493,0,0.33207493
88,1,1000000,0.807259125,0.807259125,0,0.807259125,0,0.807259125
90,1,1000000,0.190417821,0.190417821,0,0.190417821,0,0.190417821
92,1,1000000,0.363113004,0.363113004,0,0.363113004,0,0.363113004
93,1,1000000,0.644441758,0.644441758,0,0.644441758,0,0.644441758
94,1,1000000,0.694978472,0.694978472,0,0.694978472,0,0.694978472
96,1,1000000,0.716497397,0.716497397,0,0.716497397,0,0.716497397
97,1,1000000,0.618052573,0.618052573,0,0.618052573,0,0.618052573
98,1,1000000,0.706295065,0.706295065,0,0.706295065,0,0.706295065
99,1,1000000,0.704849643,0.704849643,0,0.704849643,0,0.704849643
100,1,1000000,0.733591877,0.733591877,0,0.733591877,0,0.733591877
101,1,1000000,0.175873852,0.175873852,0,0.175873852,0,0.175873852
102,1,1000000,0.659726058,0.659726058,0,0.659726058,0,0.659726058
103,1,1000000,0.592463321,0.592463321,0,0.592463321,0,0.592463321
104,1,1000000,0.503344263,0.503344263,0,0.503344263,0,0.503344263
105,1,1000000,0.365783008,0.365783008,0,0.365783008,0,0.365783008
106,1,1000000,0.252225376,0.252225376,0,0.252225376,0,0.252225376
107,1,1000000,0.583617267,0.583617267,0,0.583617267,0,0.583617267
109,1,1000000,0.667767936,0.667767936,0,0.667767936,0,0.667767936
110,1,1000000,0.258158616,0.258158616,0,0.258158616,0,0.258158616
111,1,1000000,0.818768967,0.818768967,0,0.818768967,0,0.818768967
112,1,1000000,0.391144397,0.391144397,0,0.391144397,0,0.391144397
113,1,1000000,0.250931864,0.250931864,0,0.250931864,0,0.250931864
114,1,1000000,0.347109555,0.347109555,0,0.347109555,0,0.347109555
115,1,1000000,0.46727091,0.46727091,0,0.46727091,0,0.46727091
116,1,1000000,0.817474721,0.817474721,0,0.817474721,0,0.817474721
117,1,1000000,0.473606065,0.473606065,0,0.473606065,0,0.473606065
119,1,1000000,0.632454516,0.632454516,0,0.632454516,0,0.632454516
120,1,1000000,0.422764595,0.422764595,0,0.422764595,0,0.422764595
121,1,1000000,0.683499831,0.683499831,0,0.683499831,0,0.683499831
122,1,1000000,0.694174811,0.694174811,0,0.694174811,0,0.694174811
123,1,1000000,0.613887598,0.613887598,0,0.613887598,0,0.613887598
124,1,1000000,0.384345272,0.384345272,0,0.384345272,0,0.384345272
125,1,1000000,0.854072392,0.854072392,0,0.854072392,0,0.854072392
126,1,1000000,0.547991266,0.547991266,0,0.547991266,0,0.547991266
127,1,1000000,0.914114156,0.914114156,0,0.914114156,0,0.914114156
128,1,1000000,0.717284564,0.717284564,0,0.717284564,0,0.717284564
129,1,1000000,0.584144824,0.584144824,0,0.584144824,0,0.584144824
130,1,1000000,0.831813486,0.831813486,0,0.831813486,0,0.831813486
131,1,1000000,0.929314185,0.929314185,0,0.929314185,0,0.929314185
132,1,1000000,0.27248902,0.27248902,0,0.27248902,0,0.27248902
133,1,1000000,0.561816534,0.561816534,0,0.561816534,0,0.561816534
134,1,1000000,0.219344507,0.219344507,0,0.219344507,0,0.219344507
135,1,1000000,0.537256738,0.537256738,0,0.537256738,0,0.537256738
137,1,1000000,0.830499081,0.830499081,0,0.830499081,0,0.830499081
138,1,1000000,0.71609921,0.71609921,0,0.71609921,0,0.71609921
139,1,1000000,0.839261878,0.839261878,0,0.839261878,0,0.839261878
140,1,1000000,0.520901136,0.520901136,0,0.520901136,0,0.520901136
141,1,1000000,0.723165642,0.723165642,0,0.723165642,0,0.723165642
142,1,1000000,0.644975113,0.644975113,0,0.644975113,0,0.644975113
143,1,1000000,0.38557477,0.38557477,0,0.38557477,0,0.38557477
144,1,1000000,0.334696887,0.334696887,0,0.334696887,0,0.334696887
145,1,1000000,0.486777696,0.486777696,0,0.486777696,0,0.486777696
146,1,1000000,0.591813987,0.591813987,0,0.591813987,0,0.591813987
147,1,1000000,0.805381212,0.805381212,0,0.805381212,0,0.805381212
148,1,1000000,0.365912538,0.365912538,0,0.365912538,0,0.365912538
149,1,1000000,0.366456989,0.366456989,0,0.366456989,0,0.366456989
150,1,1000000,0.621437086,0.621437086,0,0.621437086,0,0.621437086
151,1,1000000,0.399490083,0.399490083,0,0.399490083,0,0.399490083
152,1,1000000,0.38009109,0.38009109,0,0.38009109,0,0.38009109
153,1,1000000,0.692517131,0.692517131,0,0.692517131,0,0.692517131
154,1,1000000,0.605856743,0.605856743,0,0.605856743,0,0.605856743
155,1,1000000,0.362346336,0.362346336,0,0.362346336,0,0.362346336
156,1,1000000,0.603554403,0.603554403,0,0.603554403,0,0.603554403
157,1,1000000,0.442972776,0.442972776,0,0.442972776,0,0.442972776
158,1,1000000,0.655491078,0.655491078,0,0.655491078,0,0.655491078
159,1,1000000,0.628147988,0.628147988,0,0.628147988,0,0.628147988
160,1,1000000,0.597304721,0.597304721,0,0.597304721,0,0.597304721
161,1,1000000,0.647640006,0.647640006,0,0.647640006,0,0.647640006
162,1,1000000,0.3317229,0.3317229,0,0.3317229,0,0.3317229
163,1,1000000,0.669529125,0.669529125,0,0.669529125,0,0.669529125
164,1,1000000,0.5500166,0.5500166,0,0.5500166,0,0.5500166
165,1,1000000,0.69812278,0.69812278,0,0.69812278,0,0.69812278
166,1,1000000,0.559495638,0.559495638,0,0.559495638,0,0.559495638
167,1,1000000,0.600287041,0.600287041,0,0.600287041,0,0.600287041
168,1,1000000,0.27695748,0.27695748,0,0.27695748,0,0.27695748
169,1,1000000,0.634084532,0.634084532,0,0.634084532,0,0.634084532
170,1,1000000,0.634080419,0.634080419,0,0.634080419,0,0.634080419
171,1,1000000,0.577126959,0.577126959,0,0.577126959,0,0.577126959
172,1,1000000,0.324656079,0.324656079,0,0.324656079,0,0.324656079
173,1,1000000,0.659623368,0.659623368,0,0.659623368,0,0.659623368
174,1,1000000,0.680817667,0.680817667,0,0.680817667,0,0.680817667
175,1,1000000,0.606978554,0.606978554,0,0.606978554,0,0.606978554
176,1,1000000,0.600280804,0.600280804,0,0.600280804,0,0.600280804
177,1,1000000,0.192437604,0.192437604,0,0.192437604,0,0.192437604
178,1,1000000,0.161044304,0.161044304,0,0.161044304,0,0.161044304
179,1,1000000,0.541513684,0.541513684,0,0.541513684,0,0.541513684
180,1,1000000,0.168408556,0.168408556,0,0.168408556,0,0.168408556
181,1,1000000,0.371323158,0.371323158,0,0.371323158,0,0.371323158
182,1,1000000,0.438368043,0.438368043,0,0.438368043,0,0.438368043
183,1,1000000,0.340399723,0.340399723,0,0.340399723,0,0.340399723
184,1,1000000,0.624589772,0.624589772,0,0.624589772,0,0.624589772
185,1,1000000,0.629245866,0.629245866,0,0.629245866,0,0.629245866
186,1,1000000,0.578906649,0.578906649,0,0.578906649,0,0.578906649
187,1,1000000,0.324766505,0.324766505,0,0.324766505,0,0.324766505
188,1,1000000,0.145921808,0.145921808,0,0.145921808,0,0.145921808
189,1,1000000,0.147217358,0.147217358,0,0.147217358,0,0.147217358
190,1,1000000,0.645710516,0.645710516,0,0.645710516,0,0.645710516
191,1,1000000,0.661196062,0.661196062,0,0.661196062,0,0.661196062
192,1,1000000,0.245820138,0.245820138,0,0.245820138,0,0.245820138
193,1,1000000,0.271292261,0.271292261,0,0.271292261,0,0.271292261
194,1,1000000,0.595871869,0.595871869,0,0.595871869,0,0.595871869
195,1,1000000,0.511936195,0.511936195,0,0.511936195,0,0.511936195
