"SITE_id" "LONG" "LAT"
48482762 17.03537 47.74579
48442784 17.0092 47.94611
48202738 16.63557 47.55411
48122770 16.56614 47.84714
48122762 16.55664 47.77469
48122730 16.52057 47.4888
48002764 16.40038 47.80262
48242800 16.76145 48.10614
48202836 16.75078 48.43181
48182862 16.75541 48.66553
48182826 16.71229 48.34389
48162858 16.72349 48.63359
48122798 16.59847 48.09748
48122780 16.57815 47.93676
48082844 16.59821 48.51349
48082820 16.57064 48.29808
48002872 16.52394 48.77035
47982850 16.47111 48.57492
47982846 16.46588 48.53916
47982796 16.4092 48.09117
47942870 16.44014 48.7571
47942860 16.42868 48.66763
47942784 16.34351 47.98857
47882776 16.25354 47.91948
47862838 16.29555 48.47674
47822862 16.26859 48.69497
47802840 16.21685 48.49921
47782854 16.2056 48.62591
47722816 16.08283 48.29017
47702818 16.0581 48.30955
47662860 16.04967 48.6889
47642862 16.02475 48.70829
47542840 15.86606 48.51838
47522872 15.87278 48.80663
47502820 15.79075 48.34192
47482860 15.8049 48.70184
47482810 15.75419 48.25365
47462848 15.76638 48.59576
47462830 15.74776 48.43438
47362862 15.64551 48.72819
47362816 15.59901 48.31575
47362808 15.58997 48.24413
47322870 15.59906 48.80273
47322798 15.52842 48.15717
47182790 15.33188 48.09424
47122882 15.33921 48.92362
47082858 15.26222 48.71081
47042874 15.2229 48.85696
47022848 15.17151 48.62579
46862842 14.94929 48.58115
46822790 14.85003 48.11686
46782778 14.78626 48.01149
46722786 14.71266 48.08677
46562790 14.50153 48.13165
46882650 14.81198 46.85632
46582638 14.4099 46.76525
46562632 14.38137 46.71286
46522628 14.32471 46.67859
47862672 16.11534 46.9889
47842688 16.10583 47.13379
47782686 16.025 47.12029
47782656 15.99412 46.85115
47762666 15.97804 46.9421
47742710 15.99709 47.33845
47682646 15.85342 46.76867
47662698 15.87944 47.23656
47642682 15.83705 47.09446
47642668 15.82306 46.96888
47642640 15.79569 46.718
47582644 15.72118 46.75774
47562650 15.70089 46.81245
47442660 15.55348 46.91088
47382664 15.47879 46.95068
47302662 15.37188 46.93805
46842682 14.78615 47.14589
46902810 14.97484 48.29155
46502798 14.42735 48.20674
46382776 14.24961 48.01552
46362804 14.24426 48.2681
46342786 14.20356 48.10767
46262794 14.10229 48.18349
46262776 14.08901 48.02105
46222796 14.0498 48.20322
46202812 14.03445 48.34792
46202808 14.03181 48.31194
46202782 14.01425 48.07874
46182814 14.00876 48.36692
46102812 13.89967 48.35277
46082830 13.88532 48.5155
46022826 13.80135 48.48233
45922802 13.65041 48.27125
45902768 13.60182 47.96656
45842808 13.54681 48.32863
45842800 13.5408 48.25693
45822796 13.51466 48.22157
45762794 13.43053 48.20622
45362638 12.81553 46.81876
45302640 12.73808 46.83878
39843144 5.16331 51.30649
40003082 5.44744 50.75972
38983116 3.96662 50.99817
38763094 3.68109 50.78455
38683122 3.53313 51.02886
39203112 4.28361 50.97822
39123108 4.17457 50.93675
39083090 4.13814 50.77264
38543122 3.33432 51.01759
38263134 2.92045 51.10127
38143104 2.79171 50.82254
38103106 2.7324 50.83687
38083120 2.6844 50.96021
38043130 2.61346 51.04595
39563076 4.83121 50.67973
39063046 4.15919 50.3771
39003046 4.07503 50.37276
38863068 3.85321 50.55944
38603088 3.46252 50.71824
38583090 3.43178 50.73452
39943050 5.39084 50.46933
39883048 5.30828 50.44798
39863070 5.2603 50.64411
39783064 5.15298 50.58561
39823034 5.23666 50.31896
39803036 5.20677 50.33569
39563058 4.8489 50.51831
39523056 4.79456 50.49789
39483050 4.74437 50.44149
39443068 4.66988 50.60023
39383058 4.59564 50.50666
39303032 4.51033 50.268333
53302384 22.57514 43.80105
53322422 22.67472 44.13528
53442394 22.76665 43.86855
53482384 22.79582 43.77366
53482412 22.85181 44.02205
53662376 23.000136 43.674799
53782378 23.150993 43.673765
53902362 23.264954 43.5108
53922390 23.346089 43.758062
53942344 23.276751 43.34705
53942368 23.325915 43.55976
54002350 23.36199 43.39063
54062392 23.522407 43.753046
54082368 23.496638 43.537253
54122350 23.50792 43.37132
54122394 23.600723 43.761009
54142364 23.5614 43.49208
54262380 23.741422 43.61411
54322346 23.74251 43.30325
54322396 23.84888 43.7458
54482368 23.98379 43.47142
54542354 24.02709 43.33745
54582368 24.10702 43.45543
54662362 24.18932 43.38794
54662386 24.24148 43.59928
54722380 24.30265 43.53809
54782356 24.32209 43.31446
54782370 24.35212 43.43737
54782392 24.40171 43.63257
54802332 24.293835 43.098865
54862378 24.46669 43.49511
54882406 24.55458 43.73898
54902344 24.441049 43.187747
54902386 24.53447 43.55908
55002378 24.63809 43.47067
55062358 24.66215 43.28427
55102384 24.77321 43.50602
55102340 24.673938 43.117576
55102394 24.79604 43.59426
55142348 24.740226 43.181181
55182378 24.85672 43.43887
55202358 24.835411 43.258841
55282384 24.99189 43.47353
55302354 24.947271 43.205726
55362364 25.042785 43.283178
55362346 25.00148 43.12437
55382340 25.01188 43.06788
55422348 25.07547 43.13084
55462394 25.2355 43.52942
55482404 25.28079 43.61468
55542396 25.33582 43.5335
55562362 25.28009 43.22923
55622354 25.3341 43.14768
55622372 25.37603 43.30639
55682392 25.496165 43.471469
55802362 25.57084 43.18444
55802390 25.636854 43.431515
55862392 25.714389 43.437852
55902382 25.73876 43.34247
55902418 25.82615 43.65903
55962348 25.72942 43.03177
56082364 25.91248 43.14986
56182424 26.184008 43.658132
56182448 26.241708 43.868902
56202458 26.287723 43.952562
56222438 26.265191 43.77331
56282430 26.317962 43.691723
56302450 26.393048 43.863007
56362466 26.50727 43.99158
56382434 26.449643 43.706869
56382452 26.49566 43.864808
56502420 26.559574 43.560319
56502438 26.605707 43.718225
56502448 26.631478 43.805929
56542466 26.72695 43.95573
56662432 26.784446 43.633648
56582460 26.76001 43.89513
56642422 26.734344 43.549982
56642452 26.81225 43.81246
56702444 26.864191 43.730772
56682466 26.89758 43.92758
56742462 26.96014 43.88034
56782440 26.95089 43.67952
56802486 27.09704 44.07826
56842490 27.15662 44.10508
56882470 27.15185 43.92183
57022486 27.36551 44.03288
56962458 27.21708 43.80037
57102470 27.419549 43.876309
57122482 27.47651 43.97704
56082450 26.124778 43.905856
56142406 26.0863 43.50809
56322406 26.30606 43.47281
56362376 26.27949 43.2015
56382390 26.33855 43.32058
56462398 26.45531 43.37513
56702372 26.67882 43.09942
56842364 26.82662 43.00122
56802414 26.90723 43.44764
56822398 26.88987 43.30338
56822422 26.95227 43.51372
56862420 26.99541 43.48806
56862438 27.04266 43.64574
56902442 27.10172 43.67261
56922404 27.0261 43.33569
57002452 27.249633 43.739593
57022414 27.173 43.40284
57022450 27.268555 43.717963
57062390 27.1608 43.18423
57062416 27.22655 43.41212
57082394 27.19269 43.21539
57082430 27.28787 43.53055
57102368 27.1488 42.98354
57102386 27.19625 43.14123
57282386 27.41201 43.10398
57142440 27.387197 43.6056
57182452 27.467975 43.702214
57222448 27.505633 43.658871
57282404 27.45842 43.26158
57282426 27.51877 43.45399
57322470 27.686885 43.830098
57342408 27.54275 43.28397
57362448 27.675147 43.62942
57382392 27.55071 43.13561
57382428 27.644929 43.4504
57382482 27.79289 43.922173
57422426 27.68972 43.42451
57422462 27.786204 43.739002
57442466 27.821486 43.769676
57462386 27.62795 43.06633
57462462 27.83468 43.730484
57522444 27.857671 43.560487
57522472 27.935152 43.80495
57542394 27.74431 43.11935
57542404 27.77074 43.2063
57542430 27.84337 43.433946
57642434 27.974949 43.447468
57662420 27.96047 43.32092
57662474 28.110511 43.792221
57802466 28.257531 43.692012
57682458 28.089912 43.648312
57722448 28.110329 43.552412
57722452 28.121498 43.587309
57822440 28.208619 43.460918
57842460 28.288957 43.630963
57842474 28.32859 43.753001
57122438 27.35764 43.59227
57182422 27.38738 43.43979
56942334 26.86993 42.71793
55602298 25.180364 42.657629
55742250 25.238269 42.208684
55742290 25.329533 42.561559
55882296 25.510774 42.588676
55922296 25.558583 42.58126
56002258 25.5656 42.23147
56042258 25.613134 42.224032
56142276 25.774107 42.363913
56462260 26.116351 42.162177
56482284 26.19906 42.36982
56482306 26.25112 42.56295
56642296 26.41736 42.44386
56682316 26.51436 42.61173
56842342 26.77068 42.80821
56802310 26.64253 42.53528
56842292 26.64534 42.36927
56842320 26.71522 42.61515
56862298 26.68406 42.41799
56962314 26.84064 42.54023
56982288 26.80164 42.30622
57102282 26.92784 42.22963
57022320 26.92806 42.5793
57062336 27.01779 42.70912
57122302 27.0031 42.40092
57242300 27.14066 42.35873
57162300 27.04554 42.37521
57162324 27.10197 42.58501
57182332 27.15125 42.65167
57302330 27.28898 42.60946
57362326 27.35092 42.56164
57522354 27.61546 42.77376
55682262 25.194055 42.325477
56062278 25.68354 42.396542
56102260 25.689122 42.230446
56282268 25.921721 42.266989
56302252 25.907669 42.122292
53742220 22.79124 42.27764
53782270 22.9356 42.71561
53822288 23.01913 42.86919
53842226 22.92231 42.31559
53862218 22.93079 42.24144
53862246 22.98499 42.490116
54102246 23.27262 42.45247
54222134 23.19643 41.4391
54282238 23.47204 42.35273
54502274 23.80913 42.63596
54882244 24.20096 42.30673
55282244 24.67702 42.23781
55342278 24.82415 42.52767
55462240 24.88305 42.170672
55502248 24.94833 42.23425
55622224 25.03783 42.00084
55622242 25.07765 42.15976
55662242 25.12517 42.15256
55862240 25.35769 42.09885
55942212 25.3881 41.83638
56022164 25.37557 41.39847
56022242 25.55242 42.0867
56162224 25.67665 41.90194
56162242 25.71726 42.06011
56302220 25.83315 41.84137
56342236 25.91739 41.97379
56482216 26.035665 41.77098
56762266 26.4864 42.15664
56802234 26.45586 41.86745
64421628 33.31504 34.78786
64601638 33.53232 34.82507
47122986 15.44239 49.85603
47023028 15.34566 50.23911
47022992 15.31065 49.9164
46962960 15.19517 49.63336
46923016 15.194 50.13799
46902994 15.14551 49.94195
46902972 15.1237 49.74475
46862964 15.06081 49.67549
46823054 15.09093 50.48497
46823014 15.0525 50.12634
46803028 15.0379 50.25311
46783032 15.01371 50.2902
46763004 14.95943 50.04034
46762986 14.94263 49.8789
46762950 14.90981 49.55605
46742962 14.89305 49.66486
46723062 14.95776 50.56273
46723048 14.94466 50.43733
46682996 14.8407 49.9734
46643036 14.82125 50.3345
46643006 14.79402 50.06545
46623028 14.78596 50.26394
46602982 14.71697 49.85252
46602964 14.70129 49.69093
46563052 14.72343 50.48268
46563034 14.7073 50.32124
46542954 14.60975 49.60429
46523016 14.63544 50.16207
46503018 14.60924 50.18115
46502996 14.5902 49.98379
46462970 14.51283 49.75294
46442992 14.5033 49.95124
46363020 14.41521 50.20683
46342980 14.35441 49.84899
46283032 14.31309 50.31878
46263028 14.28182 50.28394
46243032 14.25701 50.32087
46183012 14.15713 50.14445
46183002 14.14932 50.05475
46142982 14.07822 49.87726
46103018 14.04995 50.20237
46083010 14.01608 50.13156
46082944 13.96671 49.5391
46062978 13.9641 49.84529
45982980 13.85446 49.86708
45982944 13.82875 49.54384
45902992 13.75173 49.97854
45842998 13.67206 50.03519
45783000 13.58832 50.05634
47262900 15.54787 49.07572
46782910 14.90112 49.19601
46742916 14.85169 49.25222
46702944 14.82168 49.50584
46682946 14.79585 49.52491
46562938 14.62356 49.46004
46562902 14.59311 49.13701
46502906 14.5169 49.1764
46482866 14.45442 48.8183
46442920 14.44356 49.30515
46422942 14.43407 49.50369
46422892 14.39353 49.05493
46382944 14.38055 49.5238
46362900 14.31758 49.13065
46322896 14.26006 49.0961
46202938 14.12767 49.47929
46162908 14.0502 49.21196
46122902 13.99144 49.16006
46002912 13.83369 49.25559
45822918 13.59068 49.31768
45782960 13.56413 49.69657
45602996 13.33639 50.02748
45582938 13.27296 49.50734
45562946 13.25018 49.58001
45542974 13.23935 49.8323
45502954 13.17197 49.65422
45482938 13.135 49.51128
45462994 13.14 50.01507
45462930 13.10285 49.44016
45422942 13.0545 49.54947
45382960 13.00928 49.71266
45382946 13.00147 49.58688
45382924 12.98931 49.38923
45242946 12.808 49.59186
45202942 12.75068 49.55728
46203042 14.20891 50.41268
46103050 14.0746 50.48956
46023042 13.95599 50.4217
46003030 13.91895 50.31496
45903046 13.79021 50.4633
45903028 13.77728 50.30172
45863040 13.72968 50.41129
45823044 13.67627 50.44902
45743036 13.55834 50.38074
45723028 13.52489 50.30978
45683008 13.45336 50.13419
45663010 13.42905 50.15071
45603022 13.35278 50.26096
48082970 16.75235 49.64111
48022972 16.67025 49.66454
47982984 16.63181 49.77483
47942996 16.59102 49.88523
47903014 16.55761 50.04956
47862964 16.44159 49.60518
47843026 16.48874 50.16175
47803008 16.41123 50.00381
47723000 16.29054 49.9384
47722978 16.26477 49.74138
47682996 16.23027 49.90565
47623038 16.19582 50.28627
47623026 16.1818 50.17881
47622990 16.14022 49.85645
47582982 16.07561 49.78778
47563046 16.12114 50.36243
47543032 16.07699 50.23855
47542996 16.03599 49.91616
47523010 16.02401 50.04301
47483040 16.00221 50.31464
47463010 15.94049 50.04741
47443048 15.95522 50.38924
47362996 15.78602 49.92921
47343028 15.79301 50.21726
47342998 15.76042 49.9485
47303044 15.75452 50.36343
47263030 15.68336 50.24081
47243016 15.64048 50.11676
47223072 15.67253 50.61989
47143018 15.50306 50.1415
47123044 15.50214 50.37587
47103034 15.46376 50.28759
47063052 15.42624 50.45156
46983034 15.29571 50.29549
46943044 15.24966 50.38773
46543080 14.72052 50.73495
48662892 17.4446 48.89309
48442898 17.15358 48.96635
48382932 17.11598 49.27576
48342894 17.01245 48.9392
48302874 16.93294 48.76363
48282902 16.94096 49.01588
48242890 16.8715 48.91187
48222924 16.88684 49.21782
48122896 16.71569 48.97551
48082906 16.67335 49.06828
48002908 16.56667 49.09269
48002880 16.53333 48.84198
47982966 16.60945 49.61349
47942906 16.4824 49.07953
47902880 16.39757 48.84985
47822872 16.27985 48.78437
47802948 16.33999 49.46659
47762888 16.21641 48.93227
47662936 16.13394 49.3698
47662932 16.12943 49.33396
47662896 16.08923 49.01146
47642916 16.0841 49.19213
47642902 16.06859 49.06667
47582910 15.99546 49.1428
47542934 15.96699 49.36075
47542880 15.90848 48.87688
47462916 15.83794 49.20524
47402932 15.77267 49.35287
47382884 15.69503 48.92407
47362892 15.67611 48.99715
47322960 15.69219 49.60939
47302932 15.63538 49.35984
47302882 15.58414 48.91162
47282974 15.65166 49.73764
47282938 15.61411 49.41498
47262918 15.56613 49.23708
47222932 15.52552 49.3653
47222906 15.49927 49.13221
47062926 15.29924 49.32239
47042914 15.26089 49.21576
46942950 15.15797 49.54497
